,GAUL,Year,NDVI
932,78,2013,0.4722216493816078
933,78,2014,
934,78,2015,
935,78,2016,
936,78,2017,
937,78,2018,
938,78,2019,
939,78,2020,
940,235,2001,0.6204378920105339
941,235,2002,0.5997823798279112
942,235,2003,0.590071356039421
943,235,2004,0.6268907823597245
944,235,2005,0.5795619492182865
945,235,2006,0.634878519415056
946,235,2007,0.6044926948860004
947,235,2008,0.5931961632366342
948,235,2009,0.6228271605855181
949,235,2010,0.6164491907840507
950,235,2011,0.6210684127267939
951,235,2012,0.6421672302237074
952,235,2013,0.6356746770017817
953,235,2014,
954,235,2015,
955,235,2016,
956,235,2017,
957,235,2018,
958,235,2019,
959,235,2020,
960,79,2001,0.43925697229812083
961,79,2002,0.42833946902185366
962,79,2003,0.42448989763123723
963,79,2004,0.41932921882806484
964,79,2005,0.42397545114410123
965,79,2006,0.4294129706289118
966,79,2007,0.43137590133635423
967,79,2008,0.4140827141746475
968,79,2009,0.4033873206327356
969,79,2010,0.4230348839761994
970,79,2011,0.41310849495578067
971,79,2012,0.4250491880383806
972,79,2013,0.4315275064483286
973,79,2014,
974,79,2015,
975,79,2016,
976,79,2017,
977,79,2018,
978,79,2019,
979,79,2020,
980,83,2001,-1.0
981,83,2002,-1.0
982,83,2003,-1.0
983,83,2004,-1.0
984,83,2005,-1.0
985,83,2006,-1.0
986,83,2007,-1.0
987,83,2008,-1.0
988,83,2009,-1.0
989,83,2010,-1.0
990,83,2011,-1.0
991,83,2012,-1.0
992,83,2013,-1.0
993,83,2014,
994,83,2015,
995,83,2016,
996,83,2017,
997,83,2018,
998,83,2019,
999,83,2020,
1000,84,2001,0.415923597695038
1001,84,2002,0.4313093111082463
1002,84,2003,0.4207068107823262
1003,84,2004,0.42183415843637895
1004,84,2005,0.4363102055189043
1005,84,2006,0.42646525331313007
1006,84,2007,0.4377409954119668
1007,84,2008,0.40926471049747115
1008,84,2009,0.42860936661680177
1009,84,2010,0.43570223517302503
1010,84,2011,0.45574161871402524
1011,84,2012,0.4121500200080724
1012,84,2013,0.4337376841579805
1013,84,2014,
1014,84,2015,
1015,84,2016,
1016,84,2017,
1017,84,2018,
1018,84,2019,
1019,84,2020,
1020,85,2001,0.6644831622935818
1021,85,2002,0.6574102786383534
1022,85,2003,0.6504249449720984
1023,85,2004,0.6598782190850848
1024,85,2005,0.6544804449687288
1025,85,2006,0.6512196667840148
1026,85,2007,0.6737169147845559
1027,85,2008,0.6520047309356124
1028,85,2009,0.6440797794997613
1029,85,2010,0.6446888639802957
1030,85,2011,0.6837301590830954
1031,85,2012,0.6738845466132938
1032,85,2013,0.655504474233914
1033,85,2014,
1034,85,2015,
1035,85,2016,
1036,85,2017,
1037,85,2018,
1038,85,2019,
1039,85,2020,
1040,87,2001,-1.0
1041,87,2002,-1.0
1042,87,2003,-1.0
1043,87,2004,-1.0
1044,87,2005,-1.0
1045,87,2006,-1.0
1046,87,2007,-1.0
1047,87,2008,-1.0
1048,87,2009,-1.0
1049,87,2010,-1.0
1050,87,2011,-1.0
1051,87,2012,-1.0
1052,87,2013,-1.0
1053,87,2014,
1054,87,2015,
1055,87,2016,
1056,87,2017,
1057,87,2018,
1058,87,2019,
1059,87,2020,
1060,89,2001,0.5651122122077563
1061,89,2002,0.5787590195056075
1062,89,2003,0.582553242871556
1063,89,2004,0.5571056711264161
1064,89,2005,0.592470099783831
1065,89,2006,0.5973732945276069
1066,89,2007,0.588252540157329
1067,89,2008,0.5996001124596041
1068,89,2009,0.6028838798881663
1069,89,2010,0.582984200643243
1070,89,2011,0.5925943560411814
1071,89,2012,0.5678357030477261
1072,89,2013,0.6096828926945479
1073,89,2014,
1074,89,2015,
1075,89,2016,
1076,89,2017,
1077,89,2018,
1078,89,2019,
1079,89,2020,
1080,90,2001,0.48955201928692477
1081,90,2002,0.4604990803856552
1082,90,2003,0.4615292749989473
1083,90,2004,0.47836409143294434
1084,90,2005,0.45763435644969075
1085,90,2006,0.47597728701426023
1086,90,2007,0.4524429926617681
1087,90,2008,0.46726074762271513
1088,90,2009,0.48114216588229314
1089,90,2010,0.47623683757483254
1090,90,2011,0.46690454084551103
1091,90,2012,0.46920599666535096
1092,90,2013,0.48518758018065783
1093,90,2014,
1094,90,2015,
1095,90,2016,
1096,90,2017,
1097,90,2018,
1098,90,2019,
1099,90,2020,
1100,92,2001,0.5741336538340992
1101,92,2002,0.5739235620895199
1102,92,2003,0.5445206248205365
1103,92,2004,0.5611403109101926
1104,92,2005,0.5603498830943683
1105,92,2006,0.566824066010498
1106,92,2007,0.5559499243571847
1107,92,2008,0.5570819178766582
1108,92,2009,0.5552188279954969
